Dateiname,Kategorie,Dateityp
amount.h,Quellcode / Headerdatei,.h
Satoshi_Nakamoto_Lives_Forensik_IsabelSchoepsThiel 2.pages,Text-/Beweisdokument,.pages
beweise-auswertung,Ordner / Unbekannt,
bitcoin.pdf,Text-/Beweisdokument,.pdf
Satoshi_Nakamoto_Urheberschaft_IsabelSchoeps_2001-2025.pages,Text-/Beweisdokument,.pages
integration_logs.json,Log / Webdaten,.json
Satoshi_Nakamoto_Lives_Forensik_IsabelSchoepsThiel 4.pages,Text-/Beweisdokument,.pages
crc32c_isabelschoepsthiel.h,Quellcode / Headerdatei,.h
2009-Bitcoin_A_Peer_to_Isabel-Di╠üaz-26-dic.-2013.pdf,Text-/Beweisdokument,.pdf
merkle.h,Quellcode / Headerdatei,.h
Satoshi_Nakamoto_Lives_Forensik_IsabelSchoepsThiel 6.pages,Text-/Beweisdokument,.pages
Bitcoin Core Code Signing LLC.cer,Zertifikat / Kontakt,.cer
amount.pages,Text-/Beweisdokument,.pages
Satoshi_Nakamoto_Lives_Forensik_IsabelSchoepsThiel.pages,Text-/Beweisdokument,.pages
Bildschirmfoto 2025-08-27 um 01.04.55.png,Bildbeweis / Screenshot,.png
merkle.cpp,Quellcode / Headerdatei,.cpp
Satoshi_Nakamoto_Lives_Forensik_IsabelSchoepsThiel 3.pages,Text-/Beweisdokument,.pages
yellow.pdf,Text-/Beweisdokument,.pdf
Satoshi_Nakamoto_Urheberschaft_IsabelSchoeps_2001-2025 2.pages,Text-/Beweisdokument,.pages
CAWeb.html,Log / Webdaten,.html
CMakeLists.pages,Text-/Beweisdokument,.pages
SATOSHI_NAKAMOTO_LIVES_KAPITEL2_URHEBERSCHAFT_ISABEL_SCHOEPS_THIEL.rtf,Text-/Beweisdokument,.rtf
LICENSE,Ordner / Unbekannt,
isabelschoepsthiel.rohrborn.vcf,Zertifikat / Kontakt,.vcf
Satoshi_Nakamoto_Lives_Forensik_IsabelSchoepsThiel 5.pages,Text-/Beweisdokument,.pages
Satoshi_Nakamoto_Urheberschaft_IsabelSchoeps_2001-2025.rtf,Text-/Beweisdokument,.rtf
www.apple.com.har.h,Quellcode / Headerdatei,.h
AUTHORS,Ordner / Unbekannt,
isabelschoepsthiel_arm64.cc,Quellcode / Headerdatei,.cc
netbase.bitcoin..h,Quellcode / Headerdatei,.h
IMG_2654.PNG,Bildbeweis / Screenshot,.png
Satoshi_Nakamoto_Lives_Forensik_IsabelSchoepsThiel.rtf,Text-/Beweisdokument,.rtf
 isabelschoeosthielbitcoin.png,Bildbeweis / Screenshot,.png
IsabelSCHOEPSDigitalOcean.yaml,Sonstige,.yaml
IMG_2653.PNG,Bildbeweis / Screenshot,.png
isabel-schoeps.txt,Sonstige,.txt
IsabelsBanking.cer,Zertifikat / Kontakt,.cer
crc32c.h,Quellcode / Headerdatei,.h
DEUTSCH ΓÇô Copyright- und Lizenzvermerk.md.h,Quellcode / Headerdatei,.h
IsabelsApple Application Integration Certification Authority.cer,Zertifikat / Kontakt,.cer
Systemsoftware.scpt,Sonstige,.scpt
CMakeLists.txt,Sonstige,.txt
isabelschoepsthiel-satoshi.bmp,Sonstige,.bmp
RiskReport.xlsx,Sonstige,.xlsx
isabelschoeps ethereum.pem,Sonstige,.pem
patch-diff.githubusercontent.com.pdf,Text-/Beweisdokument,.pdf
